source,target,surprisal,weight
мира,жизни,10.7177,3
мира,власть,10.7177,3
мира,истины,10.7177,3
мира,сергей,10.7177,2
жизни,власть,10.7177,3
жизни,россии,10.7177,2
жизни,истины,10.7177,4
жизни,сергей,10.7177,2
жизни,концепция,10.7177,3
жизни,русская,10.7177,3
жизни,русская истина,10.7177,3
власть,истины,10.7177,3
