source,target,weight,methods,emotional,surprisal,pmi,relation
социально-экономического развития,стратегии,14,"['cooccurrence', 'emotional', 'perplexity']",True,16.7201,5.1329,
социально-экономического развития,статус позволит долгопрудному,2,"['cooccurrence', 'perplexity']",,16.6788,5.0727,
социально-экономического развития,позволит долгопрудному получать,2,"['cooccurrence', 'perplexity']",,16.7201,5.0727,
стратегии,статус позволит долгопрудному,2,"['cooccurrence', 'perplexity']",,17.5961,5.3636,
стратегии,позволит долгопрудному получать,2,"['cooccurrence', 'perplexity']",,17.5961,5.3636,
мфти,долина физтеха,14,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.5368,
федерального бюджета,финансирование из федерального,5,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,7.3027,
федерального бюджета,подмосковные города,2,"['cooccurrence', 'perplexity']",,17.5961,6.3527,
финансирование из федерального,подмосковные города,2,"['cooccurrence', 'perplexity']",,16.594,7.1787,
подмосковные города,подмосковные города дубна,2,"['cooccurrence', 'perplexity']",,15.9991,8.6381,
науки и современных,крупнейших центров развития,2,"['cooccurrence', 'perplexity']",,15.1844,5.8801,
науки и современных,центров развития науки,4,"['cooccurrence', 'perplexity']",,15.1844,6.1576,
мишустин,россии михаил,2,"['cooccurrence', 'perplexity']",,17.5961,5.9214,
мишустин,михаилом мишустиным,3,"['cooccurrence', 'perplexity']",,17.5961,5.6319,
мишустин,премьер-министр михаил мишустин,7,"['anaphora', 'cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.2694,
михаил мишустин,россии михаил,2,"['cooccurrence', 'perplexity']",,17.5961,6.0962,
михаил мишустин,соответствующее распоряжение подписал,3,"['cooccurrence', 'perplexity']",,17.3319,5.0182,
михаил мишустин,премьер-министр михаил мишустин,7,"['anaphora', 'cooccurrence', 'emotional', 'perplexity']",True,16.8881,5.4441,
на сайте,сайте,40,"['cooccurrence', 'rhetorical', 'perplexity']",,15.0314,5.2261,contrast
стефан перевалов,этом году,2,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,5.6157,
полномочный представитель президента,федерации в сибирском,2,"['cooccurrence', 'perplexity']",,17.3089,5.6223,
полномочный представитель президента,президента российской,2,"['cooccurrence', 'perplexity']",,16.8758,5.3813,
полномочный представитель президента,анатолий серышев посетил,2,"['cooccurrence', 'perplexity']",,17.5961,5.8338,
федерации в сибирском,президента российской,3,"['cooccurrence', 'perplexity']",,15.5635,7.1507,
федерации в сибирском,федеральном округе анатолий,2,"['cooccurrence', 'perplexity']",,15.2516,5.5657,
президента российской,федеральном округе анатолий,2,"['cooccurrence', 'perplexity']",,17.369,5.3247,
федеральном округе анатолий,анатолий серышев посетил,2,"['cooccurrence', 'perplexity']",,16.8784,5.7772,
андрей,андрей воробьев,16,"['cooccurrence', 'emotional', 'rhetorical', 'perplexity']",True,15.6924,5.4914,contrast
центров науки,главных центров,2,"['cooccurrence', 'perplexity']",,16.3694,6.4777,
центров науки,главных центров науки,2,"['cooccurrence', 'perplexity']",,16.5366,7.5708,
главных центров,главных центров науки,2,"['cooccurrence', 'perplexity']",,16.7783,6.8187,
главных центров,получил статус наукограда,2,"['cooccurrence', 'perplexity']",,17.5961,5.0532,
