source,target,weight,methods,pmi
кфс,гипер-ленте,2,['graphrag_baseline'],9.3912
перекрестка,вкусвилла,2,['graphrag_baseline'],7.3912
перекрестка,дикси,2,['graphrag_baseline'],7.3912
перекрестка,пятерочки,2,['graphrag_baseline'],7.3912
вкусвилла,дикси,2,['graphrag_baseline'],7.3912
вкусвилла,пятерочки,2,['graphrag_baseline'],7.3912
зил,коммунарка,2,['graphrag_baseline'],5.9538
лабквеста,инвитро,2,['graphrag_baseline'],8.5612
лабквеста,гемотеста,2,['graphrag_baseline'],8.5612
нижегородскую область,богородской улице,2,['graphrag_baseline'],6.5612
нижегородскую область,городской улице,2,['graphrag_baseline'],5.7032
нижегородскую область,тихвинский храм,2,['graphrag_baseline'],6.5612
богородской улице,городской улице,2,['graphrag_baseline'],5.7032
богородской улице,тихвинский храм,2,['graphrag_baseline'],6.5612
инвитро,гемотеста,2,['graphrag_baseline'],8.5612
коммунарка,москвой,2,['graphrag_baseline'],5.1603
коммунарка,тинао,2,['graphrag_baseline'],5.3372
коммунарка,троицкого,2,['graphrag_baseline'],4.3061
подольск,яндекса,2,['graphrag_baseline'],7.3912
подольск,подольске,2,['graphrag_baseline'],6.8887
городской улице,троицкая ривьера,2,['graphrag_baseline'],5.3813
городской улице,троицк е-39 (фаворит),2,['graphrag_baseline'],5.5333
городской улице,легенда,2,['graphrag_baseline'],5.7963
городской улице,тихвинский храм,2,['graphrag_baseline'],5.7032
подольске,жк,2,['graphrag_baseline'],4.5911
дикси,пятерочки,2,['graphrag_baseline'],7.3912
оэз,ао «алтегра»,2,['graphrag_baseline'],5.1017
оэз,нижегородской области,2,['graphrag_baseline'],4.3132
оэз,оэз «иннополис»,7,['graphrag_baseline'],4.8767
оэз,ренат халимов,5,['graphrag_baseline'],4.3912
оэз,на,12,['graphrag_baseline'],4.3388
скиф,цкп,24,['graphrag_baseline'],4.5769
скиф,цкп «скиф»,17,['graphrag_baseline'],4.1312
цкп,центра коллективного пользования «сибирский кольцевой источник фотонов» (цкп «скиф»,4,['graphrag_baseline'],4.5668
цкп,цкп «скиф»,15,['graphrag_baseline'],4.7011
алтайский край,тамбовская область,3,['graphrag_baseline'],4.0079
nica,агентство «москва»,2,['graphrag_baseline'],5.228
новосибирская область,агентство «москва»,2,['graphrag_baseline'],5.0104
научный центр,институт ядерных исследований ран (ияи ран),2,['graphrag_baseline'],4.4579
научный центр,троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,2,['graphrag_baseline'],4.4579
научный центр,государственной корпорации по атомной энергии «росатом,2,['graphrag_baseline'],4.4579
научный центр,институт спектроскопии ран (исан),2,['graphrag_baseline'],4.4579
научный центр,ао «государственный научный центр,3,['graphrag_baseline'],4.6443
научный центр,федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],4.3938
ао «государственный научный центр,институт ядерных исследований ран (ияи ран),2,['graphrag_baseline'],5.2438
ао «государственный научный центр,троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,2,['graphrag_baseline'],5.2438
ао «государственный научный центр,государственной корпорации по атомной энергии «росатом,2,['graphrag_baseline'],5.2438
ао «государственный научный центр,институт спектроскопии ран (исан),2,['graphrag_baseline'],5.2438
ао «государственный научный центр,федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],5.1796
академгородок,наукоград,2,['graphrag_baseline'],6.4216
regions,реутова,25,['graphrag_baseline'],4.1282
regions,боевой славы,2,['graphrag_baseline'],4.3912
центра коллективного пользования «сибирский кольцевой источник фотонов» (цкп «скиф»,валерий фальков,2,['graphrag_baseline'],4.0936
сво,мособлдумы,3,['graphrag_baseline'],4.6147
совета депутатов,госдумы,2,['graphrag_baseline'],4.2688
санкт-петербург,татарстан,2,['graphrag_baseline'],4.5839
дубны,сша,2,['graphrag_baseline'],4.0987
королёва,кёнигсберга,2,['graphrag_baseline'],4.1689
